NAME,SLUG,LIFE-EXPECTANCY-AT-BIRTH,DATE-OF-INFORMATION,REAL-GDP-PER-CAPITA,MEDIAN-AGE,REGION
Afghanistan,afghanistan,53.65,,"$2,000 ",19.5,South Asia
Albania,albania,79.47,,"$13,300 ",34.3,Europe
Algeria,algeria,78.03,,"$10,700 ",28.9,Africa
American Samoa,american-samoa,75.32,,"$11,200 ",27.2,Australia and Oceania
Andorra,andorra,83.42,,"$49,900 ",46.2,Europe
Angola,angola,62.11,,"$6,200 ",15.9,Africa
Anguilla,anguilla,82.2,,"$12,200 ",35.7,Central America and the Caribbean
Antigua and Barbuda,antigua-and-barbuda,77.8,,"$18,000 ",32.7,Central America and the Caribbean
Argentina,argentina,78.31,,"$19,700 ",32.4,South America
Armenia,armenia,76.13,,"$12,600 ",36.6,Middle East
Aruba,aruba,78.01,,"$37,500 ",39.9,Central America and the Caribbean
Australia,australia,83.09,,"$48,700 ",37.5,Australia and Oceania
Austria,austria,82.27,,"$51,900 ",44.5,Europe
Azerbaijan,azerbaijan,74.15,,"$13,700 ",32.6,Middle East
"Bahamas, The",bahamas-the,76.13,,"$30,800 ",32.8,Central America and the Caribbean
Bahrain,bahrain,79.9,,"$40,900 ",32.9,Middle East
Bangladesh,bangladesh,74.7,,"$4,800 ",27.9,South Asia
Barbados,barbados,78.55,,"$12,900 ",39.5,Central America and the Caribbean
Belarus,belarus,74.28,,"$19,100 ",40.9,Europe
Belgium,belgium,81.86,,"$48,200 ",41.6,Europe
Belize,belize,75.82,,"$6,100 ",23.9,Central America and the Caribbean
Benin,benin,62.21,,"$3,300 ",17,Africa
Bermuda,bermuda,82.04,,"$81,800 ",43.6,North America
Bhutan,bhutan,72.31,,"$10,900 ",29.1,South Asia
Bolivia,bolivia,72.5,,"$7,900 ",25.3,South America
Bosnia and Herzegovina,bosnia-and-herzegovina,77.98,,"$14,300 ",43.3,Europe
Botswana,botswana,65.64,,"$16,000 ",25.7,Africa
Brazil,brazil,75.92,,"$14,100 ",33.2,South America
British Virgin Islands,british-virgin-islands,79.67,,"$34,200 ",37.2,Central America and the Caribbean
Brunei,brunei,78.38,,"$62,200 ",31.1,East and Southeast Asia
Bulgaria,bulgaria,75.57,,"$22,400 ",43.7,Europe
Burkina Faso,burkina-faso,63.44,,"$2,200 ",17.9,Africa
Burma,burma,69.92,,"$4,500 ",29.2,East and Southeast Asia
Burundi,burundi,67.42,,$700 ,17.7,Africa
Cabo Verde,cabo-verde,73.75,,"$6,000 ",26.8,Africa
Cambodia,cambodia,70.65,,"$4,200 ",26.4,East and Southeast Asia
Cameroon,cameroon,63.27,,"$3,600 ",18.5,Africa
Canada,canada,83.8,,"$45,900 ",41.8,North America
Cayman Islands,cayman-islands,82.04,,"$73,600 ",40.5,Central America and the Caribbean
